,Movie name,IMDB Rating,Description,Votes,Metascore,Total Duration (in Minutes)
172,The Stand,5.5,"After the world is in ruins, due to a man-made plague, a battle of Biblical proportions ensues between the survivors.",22861.0,,510.0
173,Let Him Go,6.7,"A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.",22810.0,63.0,113.0
174,Shingeki no Kyojin,9.0,"After the battle at Fort Slava, the army prepares to come back home. With everything for him at stake, Zeke proposes a new plan in order to amend their failure four years ago in Shiganshina.",22638.0,,24.0
175,Shingeki no Kyojin,9.4,"A flashback into Reiner's harsh and difficult life, and his own personal wish to become a Marleyan Warrior for his family honor.",22569.0,,24.0
176,De slag om de Schelde,7.1,"1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.",22541.0,,124.0
177,The Empty Man,6.1,"On the trail of a missing girl, an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity.",22440.0,,137.0
178,Sputnik,6.4,The lone survivor of an enigmatic spaceship incident hasn't returned home alone - hiding inside his body is a dangerous creature.,22189.0,61.0,113.0
179,Barbarians,7.2,"Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash.",21926.0,,280.0
180,Jeffrey Epstein: Filthy Rich,7.1,"Survivors worldwide reveal the manipulation, abuse and emotional scars suffered at the hands of wealthy convicted pedophile Jeffrey Epstein. Their stories expose a sex trafficking ring of powerful enablers leading up to his 2019 arrest.",21880.0,,227.0
181,Shingeki no Kyojin,9.2,Magath joins hands with the Tyburs and makes preparations for the upcoming festival in Liberio.,21676.0,,24.0
182,An American Pickle,5.7,An immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern-day Brooklyn.,21521.0,,88.0
183,Rise of Empires: Ottoman,7.9,Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.,21363.0,,44.0
184,Trolls World Tour,6.1,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.",21330.0,,90.0
185,Dark,9.7,Claudia reveals to Adam how everything is connected and how he can destroy the knot.,21212.0,,73.0
186,The Mandalorian,9.2,The Mandalorian and Child travel to an ancient site.,21171.0,,32.0
187,Run Hide Fight,6.4,"17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters.",20954.0,,109.0
188,Justice League Dark: Apokolips War,7.8,A Sequel to Justice League Dark (2017) involving Jack Kirby's New Gods.,20592.0,,90.0
189,Over the Moon,6.4,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",20590.0,,95.0
190,Lost Girls,6.1,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.",20527.0,67.0,95.0
191,Supernatural,6.3,It's the final ride for saving people and hunting things.,20393.0,,42.0
192,The Mandalorian,7.9,The Mandalorian must ferry a passenger with precious cargo on a risky journey.,20302.0,,40.0
193,The Mandalorian,8.8,The Mandalorian braves high seas and meets unexpected allies.,20139.0,,35.0
194,Love Wedding Repeat,5.5,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.",19708.0,,100.0
195,Capone,4.7,"The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past.",19560.0,,103.0
196,Mrs. Serial Killer,4.8,"When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence.",19545.0,,106.0
197,You Should Have Left,5.4,"A former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the Welsh countryside where nothing is quite as it seems.",19530.0,,93.0
198,Hard Kill,3.3,"The work of billionaire tech CEO Donovan Chalmers (Willis) is so valuable that he hires mercenaries to protect it, and a terrorist group kidnaps his daughter just to get it.",19508.0,,98.0
199,The Dry,6.9,Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.,19424.0,69.0,117.0
200,Mythic Quest: Raven's Banquet,7.8,The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.,19412.0,,30.0
201,The Frog,8.5,Ramin plans a robbery on his childhood classmate Noori who has become a mysterious rich man and that's just a beginning of a brutal journey.,19316.0,,
202,Bicchoo Ka Khel,7.3,"What happens when a young student loses his father to a cover-up? Can he find it in himself to forget the past and move on, or is revenge the only thing that can give him some peace of mind?",19259.0,,22.0
203,The Silencing,6.2,A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.,19127.0,,93.0
204,The War with Grandpa,5.6,"Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.",18916.0,,94.0
205,Paurashpur,3.9,"In a kingdom dominated by men, it is the ultimate battle of the sexes to win the war being waged against gender equality. Every character is grey and they must fight for what they believe is right in order to survive in Paurashpur.",18773.0,,25.0
206,Uncle Frank,7.3,"In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina, for the family patriarch's funeral, they're unexpectedly joined by Frank's lover, Walid.",18773.0,,95.0
207,I May Destroy You,8.1,"The question of sexual consent in contemporary life and how, in the new landscape of dating and relationships, we make the distinction between liberation and exploitation.",18711.0,,30.0
208,Chhalaang,6.8,"Chhalaang is a hilarious, yet inspirational journey of Montu, a PT Master from a semi govt. funded school for whom teaching PT is just a job. When circumstances put everything he cares for ...                See full summary »",18689.0,,136.0
209,Operation MBBS,8.9,"Operation MBBS chronicles the lives of three first year students - Huma, Sakshi and Nishant in one of the best MBBS colleges in the country. Follow their journey as they navigate through friendships, hardships and medical student life.",18651.0,,27.0
210,L'incredibile storia dell'Isola delle Rose,7.0,"An idealistic engineer builds his own island off the Italian coast and declares it a nation, drawing the world's attention. Values are tested when the Italian Government declares him an enemy, but to change the world risks must be taken.",18621.0,,117.0
211,Miss Americana,7.4,A look at iconic pop artist Taylor Swift during a transformational time in her life as she embraces her role as a singer/songwriter and harnesses the full power of her voice.,18570.0,65.0,85.0
212,Khuda Haafiz,7.4,A newly married couple's life falls in jeopardy when the wife goes missing under mysterious circumstances.,18567.0,,133.0
213,The Mandalorian,9.0,"To move against the Empire, the Mandalorian needs the help of an old enemy.",18402.0,,38.0
214,Archive,6.4,2038: George Almore is working on a true human-equivalent AI. His latest prototype is almost ready. This sensitive phase is also the riskiest. Especially as he has a goal that must be hidden at all costs.,18308.0,67.0,109.0
215,Saikojiman Gwaenchanha,8.7,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,18200.0,,80.0
216,Jingle Jangle: A Christmas Journey,6.5,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",18116.0,69.0,122.0
217,The Mandalorian,8.4,The Mandalorian rejoins old allies for a new mission.,18045.0,,37.0
218,Solar Opposites,8.0,"A family of aliens move to middle America, where they debate whether life is better there or on their home planet.",17821.0,,22.0
219,Torbaaz,6.7,"A man rises from personal tragedy to lead a group of children from a refugee camp to victory, transforming their lives through the game of cricket.",17798.0,,133.0
220,Perry Mason,7.6,"In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime.",17650.0,,60.0
221,I Know This Much Is True,8.2,"Following the parallel lives of identical twin brothers Dominick and Thomas Birdsey in a story of betrayal, sacrifice and forgiveness.",17429.0,,60.0
222,Tales from the Loop,7.5,"The townspeople who live above ""The Loop,"" a machine built to unlock and explore the mysteries of the universe, experience things previously consigned to the realm of science fiction.",17388.0,,50.0
223,Raat Akeli Hai,7.3,The film follows a small town cop who is summoned to investigate the death of a politician which gets complicated by the victim's secretive family and his own conflicted heart.,17370.0,,149.0
224,The Willoughbys,6.4,"Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family.",17287.0,68.0,90.0
